UV 1_280,UV 1_280,Cond,UV 2_214,Conc B,,UV 2_214,
ml,mAU,ml,mS/cm,ml,%,ml,mAU
UV 1_280 ml,UV 1_280 mAU,Cond ml,Cond mS/cm,Conc B ml,%,UV 2_214 ml,mAU
0.231404,2.910179,0.496055,2.97574,2.613926,100,1.288608,52.742142
0.232237,2.910251,0.497721,2.975733,2.622257,100,1.292774,52.772953
0.233071,2.910393,0.499388,2.975726,2.630588,100,1.29694,52.806301
0.233904,2.910555,0.501054,2.975705,2.638918,100,1.301107,52.845318
0.234737,2.910716,0.502721,2.975705,2.647249,100,1.305273,52.875587
0.235571,2.910863,0.504388,2.975736,2.65558,100,1.309439,52.891563
0.236404,2.910989,0.506054,2.975671,2.663911,100,1.313605,52.898952
0.237237,2.911109,0.507721,2.975659,2.672242,100,1.317772,52.905193
0.23807,2.911229,0.509387,2.97562,2.680573,100,1.321938,52.910793
0.238904,2.911297,0.511054,2.97562,2.688904,100,1.326104,52.918522
0.239737,2.911321,0.512721,2.97562,2.697235,100,1.33027,52.927822
0.24057,2.911345,0.514387,2.975628,2.705565,100,1.334437,52.933758
0.241404,2.91137,0.516054,2.975634,2.713896,100,1.338603,52.940727
0.242237,2.9114,0.51772,2.975635,2.722227,100,1.342769,52.953205
0.24307,2.911433,0.519387,2.975646,2.730558,100,1.346936,52.967785
0.243903,2.911467,0.521053,2.975655,2.738889,100,1.351102,52.982246
0.244737,2.911501,0.52272,2.97571,2.74722,100,1.355268,52.994923
0.24557,2.911534,0.524387,2.975675,2.755551,100,1.359434,53.007153
0.246403,2.911566,0.526053,2.975629,2.763882,100,1.3636,53.020332
0.247237,2.911599,0.52772,2.975615,2.772213,100,1.367767,53.031158
0.24807,2.911741,0.529386,2.975564,2.780543,100,1.371933,53.039215
0.248903,2.912127,0.531053,2.975536,2.788874,100,1.376099,53.046871
0.249736,2.912624,0.53272,2.975581,2.797205,100,1.380266,53.049244
0.25057,2.913121,0.534386,2.975616,2.805536,100,1.384432,53.048401
0.251403,2.913673,0.536053,2.975673,2.813867,100,1.388598,53.049976
0.252236,2.914278,0.537719,2.975669,2.822198,100,1.392764,53.049667
0.25307,2.914897,0.539386,2.975704,2.830528,100,1.396931,53.049782
0.253903,2.915509,0.541052,2.975724,2.83886,100,1.401097,53.04705
0.254736,2.91612,0.542719,2.975694,2.84719,100,1.405263,53.043358
0.255569,2.916724,0.544386,2.97571,2.855521,100,1.409429,53.039112
0.256403,2.91733,0.546052,2.975666,2.863852,100,1.413596,53.032352
0.257236,2.917909,0.547719,2.975649,2.872183,100,1.417762,53.028057
0.258069,2.918338,0.549385,2.975636,2.880514,100,1.421928,53.025452
0.258903,2.9187,0.551052,2.975618,2.888845,100,1.426094,53.011749
0.259736,2.919065,0.552719,2.97563,2.897176,100,1.430261,52.998657
0.260569,2.919426,0.554385,2.97565,2.905507,100,1.434427,52.988243
0.261402,2.919805,0.556052,2.975671,2.913837,100,1.438593,52.973026
0.262236,2.920198,0.557718,2.975681,2.922168,100,1.44276,52.962208
0.263069,2.920593,0.559385,2.975718,2.930499,100,1.446926,52.952709
0.263902,2.921036,0.561051,2.975744,2.93883,100,1.451092,52.944206
