UV 1_280,UV 1_280,Cond,Cond,Conc B,Conc B
ml,mAU,ml,mS/cm,ml,%
UV 1_280 ml,UV 1_280 mAU,Cond ml,Cond mS/cm,Conc B ml,Conc B %
0.307332,0.966933,0.636534,3.121667,3.289915,100
0.308166,0.967123,0.6382,3.12168,3.298247,100
0.308999,0.967314,0.639867,3.121658,3.306578,100
0.309832,0.967556,0.641534,3.121644,3.314909,100
0.310665,0.967932,0.6432,3.121611,3.323241,100
0.311498,0.968344,0.644867,3.121603,3.331572,100
0.312332,0.968755,0.646533,3.121637,3.339904,100
0.313165,0.968791,0.6482,3.121681,3.348235,100
0.313998,0.968621,0.649867,3.121702,3.356566,100
0.314831,0.968424,0.651533,3.121654,3.364898,100
0.315665,0.968227,0.6532,3.12165,3.373229,100
0.316498,0.967907,0.654867,3.121599,3.381561,100
0.317331,0.967528,0.656533,3.121583,3.389892,100
0.318164,0.967137,0.6582,3.121548,3.398224,100
0.318998,0.966813,0.659867,3.121531,3.406555,100
0.319831,0.966781,0.661533,3.12154,3.414886,100
0.320664,0.966812,0.6632,3.121534,3.423218,100
0.321497,0.966843,0.664867,3.12154,3.431549,100
0.32233,0.966911,0.666533,3.121576,3.439881,100
0.323164,0.96714,0.6682,3.121557,3.448212,100
0.323997,0.967401,0.669866,3.121526,3.456543,100
0.32483,0.967662,0.671533,3.121589,3.464875,100
0.325663,0.967971,0.6732,3.121667,3.473206,100
0.326497,0.968307,0.674866,3.121663,3.481538,100
0.32733,0.968646,0.676533,3.121654,3.489869,100
0.328163,0.968985,0.6782,3.121682,3.4982,100
0.328996,0.969177,0.679866,3.121689,3.506532,100
0.32983,0.969241,0.681533,3.121743,3.514863,100
0.330663,0.969288,0.6832,3.121763,3.523195,100
0.331496,0.969328,0.684866,3.121783,3.531526,100
0.332329,0.969338,0.686533,3.121776,3.539857,100
0.333162,0.969345,0.6882,3.121831,3.548189,100
0.333996,0.969351,0.689866,3.12178,3.55652,100
0.334829,0.969358,0.691533,3.121815,3.564852,100
0.335662,0.969254,0.693199,3.121851,3.573183,100
0.336495,0.969109,0.694866,3.121831,3.581515,100
0.337329,0.968959,0.696533,3.121827,3.589846,100
0.338162,0.968702,0.698199,3.121815,3.598177,100
0.338995,0.96833,0.699866,3.12186,3.606509,100
0.339828,0.967942,0.701533,3.121801,3.61484,100
0.340662,0.967555,0.703199,3.121798,3.623172,100
0.341495,0.9673,0.704866,3.121799,3.631503,100
0.342328,0.967363,0.706533,3.121791,3.639834,100
0.343161,0.967454,0.708199,3.121808,3.648166,100
0.343994,0.967546,0.709866,3.121788,3.656497,100
0.344828,0.967333,0.711533,3.121804,3.664829,100
0.345661,0.967066,0.713199,3.121795,3.67316,100
0.346494,0.966796,0.714866,3.121786,3.681491,100
0.347327,0.966526,0.716532,3.12178,3.689823,100
0.348161,0.966026,0.718199,3.121806,3.698154,100
0.348994,0.965289,0.719866,3.121863,3.706486,100
0.349827,0.964542,0.721532,3.121845,3.714817,100
0.35066,0.963795,0.723199,3.121885,3.723149,100
0.351494,0.963229,0.724866,3.121881,3.73148,100
0.352327,0.962665,0.726532,3.121829,3.739811,100
0.35316,0.962101,0.728199,3.121822,3.748143,100
0.353993,0.961552,0.729866,3.121814,3.756474,100
0.354827,0.961463,0.731532,3.121861,3.764806,100
0.35566,0.961509,0.733199,3.121888,3.773137,100
0.356493,0.961558,0.734866,3.121898,3.781468,100
0.357326,0.96162,0.736532,3.121879,3.7898,100
0.358159,0.961703,0.738199,3.121868,3.798131,100
0.358993,0.961782,0.739865,3.121872,3.806463,100
0.359826,0.961855,0.741532,3.121872,3.814794,100
0.360659,0.961868,0.743199,3.12187,3.823125,100
0.361492,0.961619,0.744865,3.121837,3.831457,100
0.362326,0.96128,0.746532,3.121871,3.839788,100
0.363159,0.960943,0.748199,3.121854,3.84812,100
0.363992,0.961002,0.749865,3.121835,3.856451,100
0.364825,0.961238,0.751532,3.121881,3.864783,100
0.365658,0.961487,0.753199,3.121827,3.873114,100
0.366492,0.961735,0.754865,3.121796,3.881445,100
0.367325,0.961942,0.756532,3.121777,3.889777,100
0.368158,0.962117,0.758199,3.121774,3.898108,100
0.368991,0.962289,0.759865,3.121762,3.90644,100
0.369825,0.962385,0.761532,3.12172,3.914771,100
0.370658,0.962284,0.763198,3.121706,3.923102,100
0.371491,0.962136,0.764865,3.12172,3.931434,100
0.372324,0.961988,0.766532,3.121694,3.939765,100
0.373158,0.961847,0.768198,3.121682,3.948097,100
0.373991,0.961733,0.769865,3.121644,3.956428,100
0.374824,0.961626,0.771532,3.121706,3.964759,100
0.375657,0.961517,0.773198,3.121672,3.973091,100
0.376491,0.961266,0.774865,3.121688,3.981422,100
0.377324,0.960921,0.776532,3.121735,3.989754,100
0.378157,0.960563,0.778198,3.121754,3.998085,100
0.37899,0.960205,0.779865,3.121722,4.006416,100
0.379823,0.959942,0.781532,3.121743,4.014748,100
0.380657,0.959801,0.783198,3.121705,4.023079,100
0.38149,0.959679,0.784865,3.121727,4.031411,100
0.382323,0.959566,0.786531,3.121683,4.039742,100
0.383156,0.959497,0.788198,3.121672,4.048073,100
0.38399,0.959434,0.789865,3.121688,4.056405,100
0.384823,0.959371,0.791531,3.121733,4.064736,100
0.385656,0.959308,0.793198,3.121736,4.073068,100
0.386489,0.959527,0.794865,3.121747,4.081399,100
0.387323,0.959819,0.796531,3.121771,4.089731,100
